"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"795" "3100" "881R" "70988" 0 0 0 "0" 0 "881" "4" 8 10 0 507 "4" 483 "15" "16" "2" 0 "0" "0"
"796" "3100" "881R" "70988" 0 0 0 "0" 0 "881" "4" 30 12 1 1779 "3" 1847 "17" "16" "2" 0 "0" "0"
"807" "3102" "13019" "70900" 0 0 0 "0" 0 "791" "4" 37 30 1 2215 "4" 3014 "21" "16" "2" 0 "0" "0"
"809" "3102" "13019" "70900" 0 0 0 "0" 0 "791" "4" 26 24 0 1568 "4" 1833 "22" "16" "2" 0 "0" "0"
"814" "3102" "13019" "70900" 0 0 0 "0" 0 "791" "4" 6 5 0 347 "4" 349 "19" "16" "2" 0 "0" "0"
"824" "3102" "13019" "70900" 0 0 0 "0" 0 "791" "4" 30 23 0 1774 "4" 1822 "16" "16" "2" 0 "0" "0"
"828" "3102" "13020" "70985" 0 0 0 "0" 0 "791" "4" 9 9 0 526 "4" 657 "23" "16" "2" 1 "0" "0"
"836" "3102" "13020" "70985" 0 0 0 "0" 0 "791" "4" 38 23 1 2280 "4" 2689 "18" "16" "2" 1 "0" "0"
"844" "3102" "13020" "70985" 0 0 0 "0" 0 "791" "4" 39 23 1 2333 "4" 2717 "19" "16" "2" 1 "0" "0"
"852" "3102" "13020" "70985" 0 0 0 "1" 0 "791" "4" 32 23 0 1899 "4" 1921 "21" "16" "2" 1 "0" "0"
"860" "3102" "13020" "70985" 0 0 0 "1" 0 "791" "4" 7 5 0 404 "4" 375 "16" "16" "2" 1 "0" "0"
"862" "3109" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 27 11 1 1598 "4" 1613 "4" "17" "3" 1 "0" "0"
"866" "3109" "56759" "70162" 0 0 0 "1" 0 "N20" "4" 10 9 0 604 "3" 738 "0" "17" "3" 1 "0" "0"
"867" "3109" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 17 11 1 1024 "4" 1015 "2" "17" "3" 1 "0" "0"
"871" "3109" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 21 16 1 1236 "4" 1157 "2" "17" "3" 1 "0" "0"
"873" "3109" "56759" "70985" 0 0 0 "1" 0 "N20" "4" 12 13 0 740 "3" 1049 "0" "17" "3" 1 "0" "0"
"878" "3109" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 27 16 1 1614 "4" 1728 "4" "17" "3" 1 "0" "0"
"880" "3111" "55244" "70162" 0 0 0 "0" 0 "916" "4" 8 5 0 453 "3" 693 "20" "16" "2" 1 "0" "0"
"884" "3111" "55244" "70162" 0 0 0 "0" 0 "916" "3" 7 4 0 417 "3" 404 "17" "16" "2" 1 "0" "0"
"885" "3111" "55244" "70985" 0 0 0 "0" 0 "916" "4" 12 8 0 720 "3" 543 "17" "16" "2" 1 "0" "0"
"889" "3111" "55244" "70985" 0 0 0 "0" 0 "916" "4" 13 9 0 760 "3" 899 "20" "16" "2" 1 "0" "0"
"892" "3114" "3612" "71019" 0 0 0 "0" 0 "786" "4" 14 20 0 845 "4" 980 "16" "16" "2" 1 "0" "0"
"896" "3114" "3612" "71019" 0 0 0 "0" 0 "786" "4" 22 28 0 1303 "3" 1603 "18" "16" "2" 1 "0" "0"
"904" "3114" "3612" "71019" 0 0 0 "0" 0 "786" "4" 23 28 1 1351 "3" 1997 "17" "16" "2" 1 "0" "0"
"910" "3114" "3612" "71019" 0 0 0 "0" 0 "786" "4" 21 27 0 1282 "3" 1433 "20" "16" "2" 1 "0" "0"
"912" "3114" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 22 11 1 1347 "4" 1333 "1" "17" "3" 1 "0" "0"
"913" "3114" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 28 11 1 1709 "4" 1676 "3" "17" "3" 1 "0" "0"
